,식품대분류명,대표식품명
0,감자 및 전분류,돼지감자
1,감자 및 전분류,감자
2,감자 및 전분류,고구마
3,감자 및 전분류,으깬감자
4,감자 및 전분류,곤약(구약나물)
5,감자 및 전분류,당면
6,감자 및 전분류,마
7,감자 및 전분류,아피오스감자
8,감자 및 전분류,전분
9,감자 및 전분류,히카마(얌빈)
10,감자 및 전분류,천마
11,감자 및 전분류,칡뿌리
12,감자 및 전분류,토란
13,감자 및 전분류,야콘
14,감자 및 전분류,칡즙
15,견과 및 종실류,아몬드
16,견과 및 종실류,밤
17,견과 및 종실류,브라질너트
18,견과 및 종실류,삼씨(대마씨)
19,견과 및 종실류,수박씨
20,견과 및 종실류,땅콩
21,견과 및 종실류,호두
22,견과 및 종실류,호박씨
23,견과 및 종실류,아마씨
24,견과 및 종실류,치아씨
25,견과 및 종실류,목화씨
26,견과 및 종실류,연씨
27,견과 및 종실류,피칸
28,견과 및 종실류,은행
29,견과 및 종실류,잣
30,견과 및 종실류,참깨
31,견과 및 종실류,코코넛
32,견과 및 종실류,피스타치오넛
33,견과 및 종실류,해바라기씨
34,견과 및 종실류,때죽
35,견과 및 종실류,들깨
36,견과 및 종실류,도토리묵
37,견과 및 종실류,도토리
38,견과 및 종실류,개암(헤이즐넛)
39,견과 및 종실류,도토리 국수
40,견과 및 종실류,마름
41,견과 및 종실류,머루씨
42,곡류,멥쌀
43,곡류,국수
44,곡류,밀
45,곡류,옥수수
46,곡류,멥쌀국수
47,곡류,멥쌀밥
48,곡류,보리밥
49,곡류,귀리밥
50,곡류,아마란스
51,곡류,조
52,곡류,잡곡
53,곡류,호밀
54,곡류,피
55,곡류,찹쌀 국수
56,곡류,찹쌀
57,곡류,퀴노아
58,곡류,수수
59,곡류,율무 국수
60,곡류,율무
61,곡류,옥수수 샐러드
62,곡류,옥수수묵
63,곡류,보리
64,곡류,귀리
65,곡류,파스타
66,곡류,메밀
67,곡류,메밀 국수
68,곡류,메밀 냉면
69,곡류,메밀묵
70,곡류,찹쌀밥
71,곡류,맵쌀 국수
72,곡류,기장
73,과일류,리치
74,과일류,롱안
75,과일류,레몬
76,과일류,사과
77,과일류,망고
78,과일류,감
79,과일류,비파
80,과일류,블루베리
81,과일류,블랙베리
82,과일류,복숭아
83,과일류,귤
84,과일류,라임 주스
85,과일류,매실
86,과일류,감말랭이
87,과일류,곶감
88,과일류,구아바
89,과일류,라임
90,과일류,복분자
91,과일류,포도
92,과일류,구즈베리
93,과일류,망고스틴
94,과일류,오렌지
95,과일류,오미자
96,과일류,버찌
97,과일류,배 과즙
98,과일류,참외
99,과일류,자몽(그레이프프루트)
100,과일류,자두
101,과일류,으름
102,과일류,유자
103,과일류,용과
104,과일류,올리브 피클
105,과일류,딸기
106,과일류,파인애플
107,과일류,파파야
108,과일류,백향과(패션프루트)
109,과일류,백향과(패션프루트) 주스
110,과일류,산딸기
111,과일류,산수유
112,과일류,살구
113,과일류,석류
114,과일류,탱자
115,과일류,키위
116,과일류,크랜베리
117,과일류,매실 절임
118,과일류,머루
119,과일류,멜론
120,과일류,소귀나무 열매
121,과일류,마가목 열매
122,과일류,보리밥 열매
123,과일류,오렴자(카람볼라)
124,과일류,라즈베리
125,과일류,수박
126,과일류,산자나무 열매(씨벅톤)
127,과일류,배
128,과일류,귤 주스
129,과일류,금귤
130,과일류,다래
131,과일류,대추
132,과일류,대추야자
133,과일류,두리안
134,과일류,아떼모야
135,과일류,아보카도
136,과일류,아세로라
137,과일류,앵두
138,과일류,엘더베리
139,과일류,오디
140,과일류,모과
141,과일류,무화과
142,과일류,바나나
143,과일류,애플수박
144,과일류,블랙커런트
145,과일류,포도즙
146,과일류,꾸지뽕
147,과일류,플럼코트
148,과일류,체리
149,과일류,아로니아
150,과일류,구기자
151,과일류,잭프루트
152,기타,메뚜기
153,기타,귀뚜라미
154,기타,팽창제
155,기타,달팽이
156,기타,번데기
157,기타,누에
158,기타,고로쇠나무
159,기타,프로폴리스
160,기타,인삼
161,기타,수세미
162,기타,장수풍뎅이
163,기타,흰점박이 꽃무지
164,기타,삼백초
165,기타,솔잎
166,기타,대나무
167,기타,송화
168,기타,로열젤리
169,기타,갈색 거저리
170,기타,치자꽃
171,기타,개구리
172,난류,청둥오리알
173,난류,오리알
174,난류,거위알
175,난류,달걀
176,난류,메추리알
177,난류,기러기알
178,당류,설탕
179,당류,포도당
180,당류,꿀
181,당류,당밀
182,두류,강낭콩
183,두류,녹두
184,두류,콩(대두)
185,두류,렌즈콩(렌틸콩)
186,두류,팥
187,두류,병아리콩
188,두류,완두
189,두류,쥐눈이콩(검정소립콩)
190,두류,잠두
191,두류,작두(도두)
192,두류,라이마빈스
193,두류,동부
194,두류,녹두 국수
195,두류,녹두묵
196,버섯류,동충하초
197,버섯류,만가닥버섯
198,버섯류,느타리버섯
199,버섯류,능이버섯(향버섯)
200,버섯류,목이버섯
201,버섯류,꽃송이버섯
202,버섯류,풀버섯
203,버섯류,표고버섯
204,버섯류,양송이버섯
205,버섯류,큰느타리버섯(새송이버섯)
206,버섯류,팽이버섯
207,버섯류,포타벨라
208,버섯류,상황버섯
209,버섯류,아위버섯
210,버섯류,싸리버섯
211,버섯류,송이버섯
212,버섯류,석이버섯
213,버섯류,영지버섯
214,버섯류,뽕나무버섯
215,버섯류,버들송이버섯
216,버섯류,밤버섯
217,버섯류,잎새버섯
218,버섯류,노루궁뎅이버섯
219,버섯류,율무느타리버섯
220,버섯류,나도팽나무버섯
221,버섯류,검은비늘버섯
222,버섯류,애느타리버섯
223,어패류 및 기타 수산물,병어
224,어패류 및 기타 수산물,갈치류
225,어패류 및 기타 수산물,쏨뱅이류
226,어패류 및 기타 수산물,게류
227,어패류 및 기타 수산물,대구류
228,어패류 및 기타 수산물,홍합류
229,어패류 및 기타 수산물,전복류
230,어패류 및 기타 수산물,멍게류
231,어패류 및 기타 수산물,꼬막류
232,어패류 및 기타 수산물,삼치류
233,어패류 및 기타 수산물,꼼치류
234,어패류 및 기타 수산물,가리비류
235,어패류 및 기타 수산물,오징어류
236,어패류 및 기타 수산물,고등어류
237,어패류 및 기타 수산물,문어류
238,어패류 및 기타 수산물,가자미류
239,어패류 및 기타 수산물,향어(이스라엘잉어)
240,어패류 및 기타 수산물,송어류
241,어패류 및 기타 수산물,붕어
242,어패류 및 기타 수산물,방어류
243,어패류 및 기타 수산물,장어류
244,어패류 및 기타 수산물,메기
245,어패류 및 기타 수산물,동자개
246,어패류 및 기타 수산물,쏘가리
247,어패류 및 기타 수산물,전어
248,어패류 및 기타 수산물,다슬기류
249,어패류 및 기타 수산물,보구치
250,어패류 및 기타 수산물,복류
251,어패류 및 기타 수산물,볼기우럭
252,어패류 및 기타 수산물,청어
253,어패류 및 기타 수산물,백연
254,어패류 및 기타 수산물,밴댕이
255,어패류 및 기타 수산물,뱅어
256,어패류 및 기타 수산물,베도라치류
257,어패류 및 기타 수산물,볼락류
258,어패류 및 기타 수산물,부시리
259,어패류 및 기타 수산물,붉은메기
260,어패류 및 기타 수산물,벤자리류
261,어패류 및 기타 수산물,보리멸류
262,어패류 및 기타 수산물,부세
263,어패류 및 기타 수산물,베로치
264,어패류 및 기타 수산물,민어
265,어패류 및 기타 수산물,고둥류
266,어패류 및 기타 수산물,굴류
267,어패류 및 기타 수산물,가무락조개
268,어패류 및 기타 수산물,각시수랑
269,어패류 및 기타 수산물,개량조개
270,어패류 및 기타 수산물,개조개
271,어패류 및 기타 수산물,민태
272,어패류 및 기타 수산물,바리류
273,어패류 및 기타 수산물,박대
274,어패류 및 기타 수산물,반지
275,어패류 및 기타 수산물,쑤기미
276,어패류 및 기타 수산물,아귀류
277,어패류 및 기타 수산물,양미리
278,어패류 및 기타 수산물,양태류
279,어패류 및 기타 수산물,상어류
280,어패류 및 기타 수산물,새다래
281,어패류 및 기타 수산물,서대류
282,어패류 및 기타 수산물,빙어류
283,어패류 및 기타 수산물,빨강부지
284,어패류 및 기타 수산물,살살치
285,어패류 및 기타 수산물,삼세기
286,어패류 및 기타 수산물,블루길
287,어패류 및 기타 수산물,성대류
288,어패류 및 기타 수산물,숭어류
289,어패류 및 기타 수산물,다랑어류
290,어패류 및 기타 수산물,만새기
291,어패류 및 기타 수산물,드렁허리
292,어패류 및 기타 수산물,둑중개
293,어패류 및 기타 수산물,명태
294,어패류 및 기타 수산물,멸치
295,어패류 및 기타 수산물,기름종개류
296,어패류 및 기타 수산물,물치다래
297,어패류 및 기타 수산물,물메기
298,어패류 및 기타 수산물,몽치다래
299,어패류 및 기타 수산물,망둑어류
300,어패류 및 기타 수산물,돔류
301,어패류 및 기타 수산물,동사리
302,어패류 및 기타 수산물,동갈치
303,어패류 및 기타 수산물,동가리류
304,어패류 및 기타 수산물,먹장어
305,어패류 및 기타 수산물,매퉁이류
306,어패류 및 기타 수산물,망상어류
307,어패류 및 기타 수산물,연어류
308,어패류 및 기타 수산물,모래무지
